reviewerID,asin,reviewerName,helpful,reviewText,overall,summary,unixReviewTime,reviewTime,cleaned_review,emotion_rule,emotion_pred
A7C1NWHUFQ44S,B00C3H8WLW,"James D. Sheetz ""jdsheetz""","[0, 0]",This is a good case.  It fits perfectly and looks great.  The only complaint is tha the side covers should have been silver like the phone instead of white.,4.0,A Good Choice,1380240000,"09 27, 2013",this is a good case  it fits perfectly and looks great  the only complaint is tha the side covers should have been silver like the phone instead of white,joy,joy
A30UP2KKD5IQEP,B00BWG4TUI,Soar,"[0, 0]","I am a heavy user of bluetooth headsets. Use the headsets extensively (several hours/day) for work and whenever talking while driving.  I've have tested many bluetooth headsets and currently use thePlantronics Voyager Proheadset.This headset meets and passes my primary requirement... the microphone and speaker quality is good.  Hard to believe how many other headsets can't live up to the basic requirement for microphone/speaker quality.Other notable shining points... the headset fits my ear and is comfortable (once I figured out the process for putting it on, very different than my current headset), the volume is good, I very much like the folding boom to turn off the headset for carrying in my pocket (massive positive that you don't get butt dials this way).  Also, when charging, it is very clear when it is done.Because of the positives, this headset enters the limited category of 2 headsets that I can live with (out of many that I have tried)... this one (the Jabra Motion) and the Plantronics Voyager.I gave the Jabra Motion 4 stars because there are some notable areas for improvement (and didn't give it 3 stars because, even with the annoyances, this is a nice headset... it's just that it can be so much better).Concerns:- Glitches waking up.  While using the headset, if leaving it in my ear without turning it off (folding the boom), it seems to go to sleep.  If I receive a call... it doesn't always wake up properly and answer the call.  I am forced to fold and unfold the boom to reliably pick up a call on my iPhone 4s.- The button on the headset to pickup/hangup/redial is very easy to bump when adjusting the headset in my ear.  I got tired of thinking ""arrrgh, I did it again"" when adjusting the headset- Volume control is gimmicky.  It is a touch sensor that I did not like at all.  My hair would constantly get it the way of using it.- Mobile app for the phone... limited use, waste of time.  Nothing worse than an app the provides almost no value.Missed Opportunity with the Mobile App:I think Jabra missed an great opportunity with their mobile app for the headset.  The limited use functionality that it has is a waste of time to spend downloading.  However, the opportunity is to add the ability to tweak all kinds of features I would love love LOVE to be able to tweak... for example.  Turn off double-click re-dialing.  That feature is a bane for me... hate it in all headsets and would like it to go away.  So, set a feature in the app to default to it on and let me undo it.  Same thing for other features... give me the ability to set a default power-up volume.  So, if I adjust the volume in a noisy or quiet environment, and later use the headset, it goes back to what I want it to be.  I'm sure with a little thought, a whole slew of options would come to light.  Develop an app that improves my use of this product... be a differentiator versus the waste of time that it is now.",4.0,Good - needs improvement/tweaking,1368403200,"05 13, 2013",i am a heavy user of bluetooth headsets use the headsets extensively several hoursday for work and whenever talking while driving  ive have tested many bluetooth headsets and currently use theplantronics voyager proheadsetthis headset meets and passes my primary requirement the microphone and speaker quality is good  hard to believe how many other headsets cant live up to the basic requirement for microphonespeaker qualityother notable shining points the headset fits my ear and is comfortable once i figured out the process for putting it on very different than my current headset the volume is good i very much like the folding boom to turn off the headset for carrying in my pocket massive positive that you dont get butt dials this way  also when charging it is very clear when it is donebecause of the positives this headset enters the limited category of  headsets that i can live with out of many that i have tried this one the jabra motion and the plantronics voyageri gave the jabra motion  stars because there are some notable areas for improvement and didnt give it  stars because even with the annoyances this is a nice headset its just that it can be so much betterconcerns glitches waking up  while using the headset if leaving it in my ear without turning it off folding the boom it seems to go to sleep  if i receive a call it doesnt always wake up properly and answer the call  i am forced to fold and unfold the boom to reliably pick up a call on my iphone s the button on the headset to pickuphangupredial is very easy to bump when adjusting the headset in my ear  i got tired of thinking arrrgh i did it again when adjusting the headset volume control is gimmicky  it is a touch sensor that i did not like at all  my hair would constantly get it the way of using it mobile app for the phone limited use waste of time  nothing worse than an app the provides almost no valuemissed opportunity with the mobile appi think jabra missed an great opportunity with their mobile app for the headset  the limited use functionality that it has is a waste of time to spend downloading  however the opportunity is to add the ability to tweak all kinds of features i would love love love to be able to tweak for example  turn off doubleclick redialing  that feature is a bane for me hate it in all headsets and would like it to go away  so set a feature in the app to default to it on and let me undo it  same thing for other features give me the ability to set a default powerup volume  so if i adjust the volume in a noisy or quiet environment and later use the headset it goes back to what i want it to be  im sure with a little thought a whole slew of options would come to light  develop an app that improves my use of this product be a differentiator versus the waste of time that it is now,joy,joy
A3R6NKGHN1XVCM,B008N72D48,"E. Gonzalez ""Genie""","[0, 0]","Good looking, grat quality. Beats buying an Otter. Case is not as hard as Otter. Feels nicer to the touch.",5.0,Great Quality,1393200000,"02 24, 2014",good looking grat quality beats buying an otter case is not as hard as otter feels nicer to the touch,joy,joy
A1HLUSSZ7HWR03,B0042LRARY,David A,"[0, 0]","Good case but my Galaxy Nexus will hardly fit, have to push to make it fit.  But otherwise a nice case, except for that ugly decorative clip on the front.",4.0,almost there,1332979200,"03 29, 2012",good case but my galaxy nexus will hardly fit have to push to make it fit  but otherwise a nice case except for that ugly decorative clip on the front,joy,joy
A30C5952V6DI7R,B005FUNYV2,Larry Green,"[0, 0]","Sound quality 7/10Construction 5/10Materials 4/10They sound good but if whatever app you are using has an equalizer that helps...nothing new there. They are not put together very well. I bought a few of these and a couple of them had bad wire connections on the left speaker. The insulation on the wires is not very tough either. Also the rubber ear pieces come off rather easily if they get pulled from your ears. I am a painter and my girlfriend says I am hard on earphones anyway. I listen to them at work, shopping or driving because I like audiobooks. I can answer calls with them and control my audiobook player. One thing that surprised me with these is the ability for my girfriend to here me when I am driving the truck with the windows down. The only thing I have found that works better than these is my Blue Parrot headset. You could carry on a conversation in a concert with that on.",5.0,Good and bad equally,1375574400,"08 4, 2013",sound quality construction materials they sound good but if whatever app you are using has an equalizer that helpsnothing new there they are not put together very well i bought a few of these and a couple of them had bad wire connections on the left speaker the insulation on the wires is not very tough either also the rubber ear pieces come off rather easily if they get pulled from your ears i am a painter and my girlfriend says i am hard on earphones anyway i listen to them at work shopping or driving because i like audiobooks i can answer calls with them and control my audiobook player one thing that surprised me with these is the ability for my girfriend to here me when i am driving the truck with the windows down the only thing i have found that works better than these is my blue parrot headset you could carry on a conversation in a concert with that on,joy,joy
A293AD7KOM8W07,B00A6LEUX6,Feral Frog,"[0, 0]","She could not believe her eyes when I gave it to her.  I have never liked pink even when I was a little girl, I always loved the primary colors.  But....my friend LOVES PINK, so I got it for her.  When we are out, I have my red phone and she has her pink phone.  Buy it, it is BEAUTIFUL.",5.0,I gave this as a gift to a friend!  WOW!,1364256000,"03 26, 2013",she could not believe her eyes when i gave it to her  i have never liked pink even when i was a little girl i always loved the primary colors  butmy friend loves pink so i got it for her  when we are out i have my red phone and she has her pink phone  buy it it is beautiful,joy,joy
A1UFGLJPU5P4PN,B007Z494P6,D. Reilly,"[0, 0]","It seems like all of the devices I carry with me when I travel require either a Micro USB, 30-Pin or Lightning connection.  I have a recharge kit in my laptop bag that has a USB battery pack, retractible micro USB cable, this adapter and a Micro USB to Lightning adapter in a small drawstring bag.  With those small items, I can recharge pretty much anything I need (except my laptop.)  These are the contents of my kit as product links:-Alpatronix PX500 5000mAh Portable External Power Bank and Extended USB Battery Backup Charger Pack for iPhone 5, 4S, 4, 3GS, 3G, iPad 4, 3, 2, 1, mini, iPod touch, nano, shuffle, Samsung Galaxy S4, S3, S2, Note 2, Ace, HTC One, Evo, Thunderbolt, Incredi...-HTC EVO 4G wiried Gomadic compact and retractable USB Charge cable - a USB Power Port Ready design and uses TipExchange- Apple Lightning to Micro USB Adapter- Lenmar CAMCTOAP Micro USB to 30-Pin AdapterOne nice bonus feature of this product is it has a little loop that you could clip something like aCell Phone Strap Black/ Silver Tone Split Ring (10)to.With so many adapters out there that don't work, the biggest thing you can say about this is that it works!",5.0,Helps Reduce Cable Clutter,1383004800,"10 29, 2013",it seems like all of the devices i carry with me when i travel require either a micro usb pin or lightning connection  i have a recharge kit in my laptop bag that has a usb battery pack retractible micro usb cable this adapter and a micro usb to lightning adapter in a small drawstring bag  with those small items i can recharge pretty much anything i need except my laptop  these are the contents of my kit as product linksalpatronix px mah portable external power bank and extended usb battery backup charger pack for iphone  s  gs g ipad     mini ipod touch nano shuffle samsung galaxy s s s note  ace htc one evo thunderbolt incredihtc evo g wiried gomadic compact and retractable usb charge cable  a usb power port ready design and uses tipexchange apple lightning to micro usb adapter lenmar camctoap micro usb to pin adapterone nice bonus feature of this product is it has a little loop that you could clip something like acell phone strap black silver tone split ring towith so many adapters out there that dont work the biggest thing you can say about this is that it works,joy,joy
APY0PLR9RNL2D,B00F8OYPUO,"AmazonAddict ""Cody""","[0, 0]","I am always scratching my screen protectors, so I've kinda got the hang of applying them, but the Tylt ALIN is a great product. With three easy steps you can have a perfect ALINment of your screen protector. It's really as easy as inserting your clean device, putting on the protector, and pushing out the bubbles. Very very recommended to any iPhone 5 (or 5S - worked great on both) user!!! Maybe even 5C, but you may not be able to fit your phone in!)",5.0,Great idea!,1389657600,"01 14, 2014",i am always scratching my screen protectors so ive kinda got the hang of applying them but the tylt alin is a great product with three easy steps you can have a perfect alinment of your screen protector its really as easy as inserting your clean device putting on the protector and pushing out the bubbles very very recommended to any iphone  or s  worked great on both user maybe even c but you may not be able to fit your phone in,joy,joy
A17FH1JUHCEDKC,B00A3NIRZE,Jewels,"[0, 0]",I lost my old charger and this works great for any Samsung phone.  Can't be the price too. Might have to get a couple more for road trips.,5.0,Great Galaxy Charger!,1396656000,"04 5, 2014",i lost my old charger and this works great for any samsung phone  cant be the price too might have to get a couple more for road trips,joy,joy
AYO7PTDIJY246,B005F1IAAQ,Daniel,"[0, 0]","I need these little things for my jump drive. It had a tiny tiny slot in it for a strap. This works, but because its so small it breaks easily. I guess I should have know that from the get go. They need to make some of these out of woven Kevlar or something!! anyone out there??!!",4.0,You get what you pay for,1348876800,"09 29, 2012",i need these little things for my jump drive it had a tiny tiny slot in it for a strap this works but because its so small it breaks easily i guess i should have know that from the get go they need to make some of these out of woven kevlar or something anyone out there,joy,joy
A3DLY6M74C20FM,B0085QRJ5U,Sam itani,"[1, 1]","I absolutely love this case! I gave it a 5 out of 5 because it does everything it is suppose to. It covers my back, my corners, i have already dropped my s3 with this case on and it saved my front because it protects the front glass as well because it gives it a slight raise of the flat surface. The red one is a nice color only if you have a Garnet red , in my opinion.",5.0,Great Case with a easy installation!,1355961600,"12 20, 2012",i absolutely love this case i gave it a  out of  because it does everything it is suppose to it covers my back my corners i have already dropped my s with this case on and it saved my front because it protects the front glass as well because it gives it a slight raise of the flat surface the red one is a nice color only if you have a garnet red  in my opinion,joy,joy
A38OJOEHJH28N9,B00AMAJD8S,Cashcar1979,"[0, 0]","Very good fitting case, as usual, by Incipio.  This offers very solid protection to the device, and some style.  It is a tad bulky, but that added bulk does give you piece of mind.",4.0,Good Quality Case for your Nokia 920,1386374400,"12 7, 2013",very good fitting case as usual by incipio  this offers very solid protection to the device and some style  it is a tad bulky but that added bulk does give you piece of mind,joy,joy
A3SHB98WYDKQ4L,B00BL5FBFW,Sivart,"[0, 0]","I really liked this product, the look and feel of it was great for the first week.  After that there were some tiny air bubbles that started to form near one of the corners and that was the end of this protector.  Dirt and lint started forming were the corner had lifted up and I could not stand the look of my iPhone with it on there, so I removed it.  I could have replaced it, but reading the other reviews I knew that it was just going to happen again.",2.0,Did not stay on,1371513600,"06 18, 2013",i really liked this product the look and feel of it was great for the first week  after that there were some tiny air bubbles that started to form near one of the corners and that was the end of this protector  dirt and lint started forming were the corner had lifted up and i could not stand the look of my iphone with it on there so i removed it  i could have replaced it but reading the other reviews i knew that it was just going to happen again,joy,joy
A1XCWGU6FUK5QK,B004XZHY34,"J. Goldstein ""JG""","[0, 0]",My father in law loves this. I got a new car with bluetooth (honda civic) and I loved the handsfree dialing and calling feature. I thought this would make a great gift for someone without that feature and I was right. I guess you do have to click the button so it is not completely handfree but it works great.,5.0,Great gift,1379376000,"09 17, 2013",my father in law loves this i got a new car with bluetooth honda civic and i loved the handsfree dialing and calling feature i thought this would make a great gift for someone without that feature and i was right i guess you do have to click the button so it is not completely handfree but it works great,joy,joy
AG13KBEJ14FGY,B0042X8XJ6,Estong,"[0, 0]","I had a couple of bluetooth and this by far is the best i had. I recommend this, especially for first time users.",5.0,Best bluetooth,1299369600,"03 6, 2011",i had a couple of bluetooth and this by far is the best i had i recommend this especially for first time users,joy,joy
A222460J5TBKPM,B008JC82BA,Bradymia,"[0, 0]","These were cute and have a nice, soft tip.  The stones shine and they will make nice gifts.  They also came in a timely fashion.",5.0,WORK GREAT,1397692800,"04 17, 2014",these were cute and have a nice soft tip  the stones shine and they will make nice gifts  they also came in a timely fashion,joy,joy
A3NH5J6QKD2VIB,B008N6WLBO,dsmdroid,"[0, 0]",Cover doesn't cover the corners like I wanted. But it is so pretty that I still use it once in a while when I know I won't drop my phone.,5.0,very pretty!,1382227200,"10 20, 2013",cover doesnt cover the corners like i wanted but it is so pretty that i still use it once in a while when i know i wont drop my phone,anger,joy
A2SSXUVPT9PIOQ,B009AAAF7O,C. McRae,"[0, 0]","Item described as a Samsung note 2 replacement s pen, However received original Samsung note S -pen. But at least it was Marble White ;-)But you guessed it - doesn't even fit my phone.However company refunded all payment in full including shipping, excellent service on this front! However disappointed on poor product description! Need to advertise correctly -- Hello Marketing 101!",2.0,Not a Samsung Note II Replacement Pen,1371340800,"06 16, 2013",item described as a samsung note  replacement s pen however received original samsung note s pen but at least it was marble white but you guessed it  doesnt even fit my phonehowever company refunded all payment in full including shipping excellent service on this front however disappointed on poor product description need to advertise correctly  hello marketing ,anger,joy
A3LKWWH70YY4ZL,B0028MBAXE,"Phillip Reid ""PReid""","[0, 0]",I don't think this is a new battery but it did its job in helping me get my contacts out of an old phone came with someone of a charge I was also able to get all my pictures so for the price and quality it did its job,5.0,Does its job,1359590400,"01 31, 2013",i dont think this is a new battery but it did its job in helping me get my contacts out of an old phone came with someone of a charge i was also able to get all my pictures so for the price and quality it did its job,joy,joy
A39O9XZXJV55WI,B008OFHLTG,VICKI GAINES,"[0, 0]",THIS COVER FITS MY PHONE PERFECT I LIKE THE DIFFERENT DESIGNS  AND OPTIONS FOR MY CELL PHONE.  I LIKE TO MATCH MY OUTFITS.,5.0,CELL PHONE COVER,1396483200,"04 3, 2014",this cover fits my phone perfect i like the different designs  and options for my cell phone  i like to match my outfits,joy,joy
A2RHBR0MOSWWCB,B00EX9J9DI,Martin Strange,"[0, 0]","I thought that it would be good, but I really can't put in my pocket easily. I still need some type of holder on the side since I am a guy. the card holders are neat for credit cards or IDs, but it still doesn't fit in my pocket easily.",3.0,Flip Book,1402963200,"06 17, 2014",i thought that it would be good but i really cant put in my pocket easily i still need some type of holder on the side since i am a guy the card holders are neat for credit cards or ids but it still doesnt fit in my pocket easily,joy,joy
A3Q38KCAOUZXBX,B004JPD8ZG,"David D. Johndon ""David D. Johnson""","[0, 0]","This is by far the best cigar lighter power supply available.  It's built very well and the 3M tape securs it securly to the side of the transmission shifter.  Also, it plugs in quite unobtrusively, too.  You won't go wrong with this item.",5.0,Cigar lighter power,1355097600,"12 10, 2012",this is by far the best cigar lighter power supply available  its built very well and the m tape securs it securly to the side of the transmission shifter  also it plugs in quite unobtrusively too  you wont go wrong with this item,joy,joy
ASFNAU0ZZ4OX0,B00GSG76IY,Cory N,"[1, 2]",Holy cow now when my phone goes dead I can switch right over to my back up power and be back up talking in no time top notch product plus it comes with different color cases so you may pick your favorite one could not of asked for a better product,5.0,Great product,1394668800,"03 13, 2014",holy cow now when my phone goes dead i can switch right over to my back up power and be back up talking in no time top notch product plus it comes with different color cases so you may pick your favorite one could not of asked for a better product,neutral,joy
AYYF9H1WKICH7,B00AERVJCM,A. Fierman,"[0, 0]","I have had so many problems with this phone.  The blue tooth is un-predictable.  Sometimes it connects and other times is is OK.  When on a call, the screen blanks out and it is so hard to pull up the dial pad to enter numbers.  It makes it difficult to get the screen to come up to change the speaker phone selection.  When adding to my cars blue tooth, the phone book will not download.  Other devices I use work great.",2.0,LG840G,1388620800,"01 2, 2014",i have had so many problems with this phone  the blue tooth is unpredictable  sometimes it connects and other times is is ok  when on a call the screen blanks out and it is so hard to pull up the dial pad to enter numbers  it makes it difficult to get the screen to come up to change the speaker phone selection  when adding to my cars blue tooth the phone book will not download  other devices i use work great,joy,joy
A2AQ8TA1GNDBAW,B008FU34C8,"K. B. Barkley ""Jamaican Dreamer""","[0, 0]","Really helpful, actually this adapter is somewhat an all around gadget it will work on Samsung, Motorola, and a Kyocera cellphones. Nice price too!!!",5.0,Nice,1355011200,"12 9, 2012",really helpful actually this adapter is somewhat an all around gadget it will work on samsung motorola and a kyocera cellphones nice price too,joy,joy
A172WO8DQTECA0,B006X1FZXC,"M.D.C ""M.H.Truth""","[16, 17]","this case is a little bit thicker than most TPU cases, which doesnt lend its self to the fact that the only reason you would ever buy this case, is to protect your phone with a Goliath sized battery hulking out of it. like most TPU products, this is an ungodly fingerprint magnet. The interior of the case is matte finished which looks really nice and is oily residue resistant. I would happily rebuy this case if they flipped it inside out and used the matte side as the exterior. (hint hint!!!)GOOD:-That it exists-durable yet cheapBAD:- Not a perfect fit and a little loose on the sides- The volume buttons are now too sensative to touch- the micro usb port need a bigger cut out to keepevery charger i tried from unnoticeably sliding out- needs MATTE FINISH on the outside of case to preventsmudges and unsightly fingerprints.",3.0,Atleast they made a TPU case...,1328659200,"02 8, 2012",this case is a little bit thicker than most tpu cases which doesnt lend its self to the fact that the only reason you would ever buy this case is to protect your phone with a goliath sized battery hulking out of it like most tpu products this is an ungodly fingerprint magnet the interior of the case is matte finished which looks really nice and is oily residue resistant i would happily rebuy this case if they flipped it inside out and used the matte side as the exterior hint hintgoodthat it existsdurable yet cheapbad not a perfect fit and a little loose on the sides the volume buttons are now too sensative to touch the micro usb port need a bigger cut out to keepevery charger i tried from unnoticeably sliding out needs matte finish on the outside of case to preventsmudges and unsightly fingerprints,joy,joy
ADDDFVHP3CSVA,B0043EV20Q,,"[1, 2]","This is a really nice little Bluetooth ear bud.  It's light enough to simply fit in your ear, with a couple different sized ear pieces and an over-the-ear adapter if you need a more secure attachment.  We paired it with both an HTC Touch Pro and Motorola Droid and the process was easy and straight forward.  The cool thing is that it can be used with two different phones without re-pairing.  Sound quality was great on both ends.  One feature I was very pleasantly surprised with was the voice control and feedback.  Many phones have voice control, and this phone will work with those systems, but the phone has voice control on its own to give connection and battery status and other handy thing.  One command, ""Call Information"", calls Bing 411, which was pretty cool.",5.0,Very nice light weight ear bud with voice command and ability to pair with two different devices,1290384000,"11 22, 2010",this is a really nice little bluetooth ear bud  its light enough to simply fit in your ear with a couple different sized ear pieces and an overtheear adapter if you need a more secure attachment  we paired it with both an htc touch pro and motorola droid and the process was easy and straight forward  the cool thing is that it can be used with two different phones without repairing  sound quality was great on both ends  one feature i was very pleasantly surprised with was the voice control and feedback  many phones have voice control and this phone will work with those systems but the phone has voice control on its own to give connection and battery status and other handy thing  one command call information calls bing  which was pretty cool,joy,joy
A1GCFTFXELCHRP,B003UC93WQ,Big Texas,"[0, 0]","I bought two of these.  They both work and are 6 feet long.  I gave it 4 stars because the first couple of times I plugged in an Ipad2 or my Iphone-4s, it didn't start charging.  Had to unplug and replug it in.",4.0,Good for money,1325980800,"01 8, 2012",i bought two of these  they both work and are  feet long  i gave it  stars because the first couple of times i plugged in an ipad or my iphones it didnt start charging  had to unplug and replug it in,anger,joy
AYB4ELCS5AM8P,B00E3EVXVY,"John B. Goode ""JBG""","[2, 2]","This is a universal tablet holder for automobile headrests.Quality: This product is very well made. All the pieces are thick, well designed and padded in the right places. This is not a flimsy piece of hardware.- Tablet holder has nonslip padding anywhere that touches the tablet.- Tablet is locked into place by snap lever in the back.- Viewing angle of the tablet can be adjusted by a 360 degree ball joint.- Headrest attachments are secured by oversized thumb screws.It's easily adjustable and it will accept anything as big as a tad under 8 inches and anything as small as 4 1/4 inches. The max thickness of anything that will fit in the clamps is about 5/8 of an inch.Testing on two different headrest shows that it holds the tablet well without slippage, works as advertised.But the real gem we found is that this holder works just as well as a tablet holder at home. It can hold the tablet upright or sideways and you can either hold it at a high angle or low angle depending on how you put the holder. Just put your tablet in it and set it on the table and voila, a tablet stand.Overall a high quality headrest tablet holder that can also be used as a tablet stand. Made of thick sturdy plastic. Sample was received for review purposes.",5.0,Excellent!,1391472000,"02 4, 2014",this is a universal tablet holder for automobile headrestsquality this product is very well made all the pieces are thick well designed and padded in the right places this is not a flimsy piece of hardware tablet holder has nonslip padding anywhere that touches the tablet tablet is locked into place by snap lever in the back viewing angle of the tablet can be adjusted by a  degree ball joint headrest attachments are secured by oversized thumb screwsits easily adjustable and it will accept anything as big as a tad under  inches and anything as small as   inches the max thickness of anything that will fit in the clamps is about  of an inchtesting on two different headrest shows that it holds the tablet well without slippage works as advertisedbut the real gem we found is that this holder works just as well as a tablet holder at home it can hold the tablet upright or sideways and you can either hold it at a high angle or low angle depending on how you put the holder just put your tablet in it and set it on the table and voila a tablet standoverall a high quality headrest tablet holder that can also be used as a tablet stand made of thick sturdy plastic sample was received for review purposes,joy,joy
A6U621TMXCD23,B0099778WS,javster,"[1, 1]","Excellent fit, great materials, has inner soft lining to prevent  iphone 5 from scratching. It provides the protection my iphone needs and it looks and feels way above my expectations. The slider case is ultra thin and lightweight, so it almost feels like there is nothing there, but if you drop it, you know its well protected on every corner. Thanks for a great case at a great price!! I recommend Khomo!!",5.0,Its perfect!!!,1351296000,"10 27, 2012",excellent fit great materials has inner soft lining to prevent  iphone  from scratching it provides the protection my iphone needs and it looks and feels way above my expectations the slider case is ultra thin and lightweight so it almost feels like there is nothing there but if you drop it you know its well protected on every corner thanks for a great case at a great price i recommend khomo,joy,joy
A1QD80T2XYR9ZZ,B00974L0EA,Adrienne Ryans,"[0, 0]","The color is nice, and it actually has a great size. I just wanted it to have the screen cover as part of the case. It is not bad, but I like the other type of cas a little better. I feel the other cases are more protective. Next time I will get the more expensive case, when it is on sale (smile).",3.0,Not quite what I expected,1362960000,"03 11, 2013",the color is nice and it actually has a great size i just wanted it to have the screen cover as part of the case it is not bad but i like the other type of cas a little better i feel the other cases are more protective next time i will get the more expensive case when it is on sale smile,joy,joy
